predictor,benchmark,final_tick,system.switch_cpus.iew.branchMispredicts,system.switch_cpus.iew.exec_branches,system.switch_cpus.iew.predictedNotTakenIncorrect,system.switch_cpus.iew.predictedNotTakenIncorrect,system.switch_cpus.iew.predictedTakenIncorrect,system.switch_cpus.branchPred.lookups,system.switch_cpus.branchPred.condPredicted,system.switch_cpus.branchPred.condIncorrect,system.switch_cpus.commit.branchMispredicts
PerceptronBasicBP,500.perlbench_r_,9634843000,582788,2895341,362620,362620,220168,5080625,3735129,532935,476933
PerceptronHashedBP,500.perlbench_r_,10588363000,735296,3044326,465678,465678,269618,5580305,4002061,671572,613149
PerceptronBasicBP,520.omnetpp_r_,4927561000,199915,1395723,131023,131023,68892,2114160,1392918,163663,155031
PerceptronHashedBP,520.omnetpp_r_,5608332000,326496,1571428,215023,215023,111473,2726998,1771713,270459,260044
PerceptronBasicBP,523.xalancbmk_r_,7231900000,299818,2507201,159293,159293,140525,3787932,2827287,252652,235071
PerceptronHashedBP,523.xalancbmk_r_,8268842000,490312,2789544,314029,314029,176283,4718082,3409296,407697,387990
PerceptronBasicBP,525.x264_r_,3893828000,645,1047070,179,179,466,1048760,599817,611,593
PerceptronHashedBP,525.x264_r_,4035433500,11920,1101090,486,486,11434,1146459,653679,11869,11850
PerceptronBasicBP,531.deepsjeng_r_,128938998500,7984,1538423,4944,4944,3040,1631547,1626840,6548,6482
PerceptronHashedBP,531.deepsjeng_r_,128946461500,9333,1540221,5078,5078,4255,1639633,1634129,7844,7784
PerceptronBasicBP,541.leela_r_,8562232500,343727,1607782,169700,169700,174027,2805090,2139337,239903,239538
PerceptronHashedBP,541.leela_r_,8894416500,370955,1610406,203447,203447,167508,3041675,2303209,281238,280756
PerceptronBasicBP,548.exchange2_r_,6022516500,487886,2194862,244069,244069,243817,3590640,2870818,462254,419791
PerceptronHashedBP,548.exchange2_r_,6506938000,592344,2240792,360873,360873,231471,3951098,3274596,591585,521780
PerceptronBasicBP,557.xz_r_,36903858500,261082,3765215,100248,100248,160834,4987386,4444086,229730,229193
PerceptronHashedBP,557.xz_r_,37422854000,379323,3875461,206513,206513,172810,5336203,4684144,325722,324896
