predictor,benchmark,final_tick,system.switch_cpus.iew.branchMispredicts,system.switch_cpus.iew.exec_branches,system.switch_cpus.iew.predictedNotTakenIncorrect,system.switch_cpus.iew.predictedNotTakenIncorrect,system.switch_cpus.iew.predictedTakenIncorrect,system.switch_cpus.branchPred.lookups,system.switch_cpus.branchPred.condPredicted,system.switch_cpus.branchPred.condIncorrect,system.switch_cpus.commit.branchMispredicts
PerceptronBasicBP,500.perlbench_r_,9847898500,615618,2950411,389071,389071,226547,5235669,3851725,558470,502084
PerceptronHashedBP,500.perlbench_r_,10350158500,708422,3000471,453397,453397,255025,5486237,3956433,639690,580207
PerceptronBasicBP,520.omnetpp_r_,5032115000,213880,1410851,135963,135963,77917,2197016,1447334,178289,165864
PerceptronHashedBP,520.omnetpp_r_,5544372000,323804,1549140,214065,214065,109739,2693276,1762622,265983,256620
PerceptronBasicBP,523.xalancbmk_r_,7361526500,323440,2534486,172243,172243,151197,3876889,2872558,272864,255375
PerceptronHashedBP,523.xalancbmk_r_,8208245500,478817,2759749,315671,315671,163146,4690518,3400937,401759,383194
PerceptronBasicBP,525.x264_r_,3893042000,689,1047087,188,188,501,1048920,599884,641,635
PerceptronHashedBP,525.x264_r_,3895400000,324,1047151,239,239,85,1048648,599544,259,260
PerceptronBasicBP,531.deepsjeng_r_,128950767500,8001,1538352,4861,4861,3140,1631756,1626938,6624,6559
PerceptronHashedBP,531.deepsjeng_r_,128919385500,8811,1540490,4657,4657,4154,1638524,1634102,7276,7195
PerceptronBasicBP,541.leela_r_,8536498000,330672,1598015,159379,159379,171293,2798851,2153309,233665,233204
PerceptronHashedBP,541.leela_r_,8693149500,312027,1526356,162686,162686,149341,2855289,2184956,248578,248015
PerceptronBasicBP,548.exchange2_r_,6060065000,483409,2198680,230185,230185,253224,3620326,2929617,472757,425420
PerceptronHashedBP,548.exchange2_r_,6191866000,528111,2194132,318771,318771,209340,3824490,3171168,511158,457325
PerceptronBasicBP,557.xz_r_,37010351500,278082,3789887,105956,105956,172126,5045570,4479771,243332,242864
PerceptronHashedBP,557.xz_r_,37388417000,356681,3882547,186886,186886,169795,5301620,4667308,309113,308247
