predictor,benchmark,final_tick,system.switch_cpus.iew.branchMispredicts,system.switch_cpus.iew.exec_branches,system.switch_cpus.iew.predictedNotTakenIncorrect,system.switch_cpus.iew.predictedNotTakenIncorrect,system.switch_cpus.iew.predictedTakenIncorrect,system.switch_cpus.branchPred.lookups,system.switch_cpus.branchPred.condPredicted,system.switch_cpus.branchPred.condIncorrect,system.switch_cpus.commit.branchMispredicts
BiModeBP,500.perlbench_r_,7671204000,250604,2469115,176797,176797,73807,3434436,2645096,245251,205386
BiModeBP,520.omnetpp_r_,4328263000,85731,1262709,61248,61248,24483,1606758,1112078,72699,62637
BiModeBP,523.xalancbmk_r_,6086500000,99833,2250441,59036,59036,40797,2702121,2062016,89099,77006
BiModeBP,525.x264_r_,3893728000,231,1047166,195,195,36,1048416,599433,197,186
BiModeBP,531.deepsjeng_r_,128878418500,714,1530820,505,505,209,1600234,1599103,709,651
BiModeBP,541.leela_r_,7271867000,61759,1240598,33488,33488,28271,1619313,1188492,54559,54438
BiModeBP,548.exchange2_r_,3842353500,69649,1828039,36652,36652,32997,2055958,1768444,77594,62235
BiModeBP,557.xz_r_,36900603000,177040,3645044,65894,65894,111146,4769367,4324157,158934,158550
PerceptronBasicBP,500.perlbench_r_,7671204000,250604,2469115,176797,176797,73807,3434436,2645096,245251,205386
PerceptronBasicBP,520.omnetpp_r_,4328263000,85731,1262709,61248,61248,24483,1606758,1112078,72699,62637
PerceptronBasicBP,523.xalancbmk_r_,6086500000,99833,2250441,59036,59036,40797,2702121,2062016,89099,77006
PerceptronBasicBP,525.x264_r_,3893728000,231,1047166,195,195,36,1048416,599433,197,186
PerceptronBasicBP,531.deepsjeng_r_,128878418500,714,1530820,505,505,209,1600234,1599103,709,651
PerceptronBasicBP,541.leela_r_,7271867000,61759,1240598,33488,33488,28271,1619313,1188492,54559,54438
PerceptronBasicBP,548.exchange2_r_,3842353500,69649,1828039,36652,36652,32997,2055958,1768444,77594,62235
PerceptronBasicBP,557.xz_r_,36900603000,177040,3645044,65894,65894,111146,4769367,4324157,158934,158550
PerceptronHashedBP,500.perlbench_r_,7671204000,250604,2469115,176797,176797,73807,3434436,2645096,245251,205386
PerceptronHashedBP,520.omnetpp_r_,4328263000,85731,1262709,61248,61248,24483,1606758,1112078,72699,62637
PerceptronHashedBP,523.xalancbmk_r_,6086500000,99833,2250441,59036,59036,40797,2702121,2062016,89099,77006
PerceptronHashedBP,525.x264_r_,3893728000,231,1047166,195,195,36,1048416,599433,197,186
PerceptronHashedBP,531.deepsjeng_r_,128878418500,714,1530820,505,505,209,1600234,1599103,709,651
PerceptronHashedBP,541.leela_r_,7271867000,61759,1240598,33488,33488,28271,1619313,1188492,54559,54438
PerceptronHashedBP,548.exchange2_r_,3842353500,69649,1828039,36652,36652,32997,2055958,1768444,77594,62235
PerceptronHashedBP,557.xz_r_,36900603000,177040,3645044,65894,65894,111146,4769367,4324157,158934,158550
TAGE,500.perlbench_r_,7671204000,250604,2469115,176797,176797,73807,3434436,2645096,245251,205386
TAGE,520.omnetpp_r_,4328263000,85731,1262709,61248,61248,24483,1606758,1112078,72699,62637
TAGE,523.xalancbmk_r_,6086500000,99833,2250441,59036,59036,40797,2702121,2062016,89099,77006
TAGE,525.x264_r_,3893728000,231,1047166,195,195,36,1048416,599433,197,186
TAGE,531.deepsjeng_r_,128878418500,714,1530820,505,505,209,1600234,1599103,709,651
TAGE,541.leela_r_,7271867000,61759,1240598,33488,33488,28271,1619313,1188492,54559,54438
TAGE,548.exchange2_r_,3842353500,69649,1828039,36652,36652,32997,2055958,1768444,77594,62235
TAGE,557.xz_r_,36900603000,177040,3645044,65894,65894,111146,4769367,4324157,158934,158550
